017
num-fields|64
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
sphere_count|int32
raw_sphere_volume|double
raw_sphere_complement|double
raw_sphere_unknown|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
raw_legendre_major|double
raw_legendre_minor|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
elapsed_time|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
image_id|guid
1|0|0|27|27|809|44|34|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|207.0000|18.0000|16.0000|17.0833|52.8701|50.4442|16.8803|15.6932|32.9176|6.4740|7.4479|6.3445|6.9422|29.1684|25.3474|152.2802|26.7517|31522.0000|1.0746|1.0000|1.1507|46.6889|1.8400|0.9107|0.8443|0.9923|0.0000|193.0000|207.0000|32.9176|-85.0000|-60.0000|149.2271|153.0821|156.1787|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:25.513|416_Station40_09012015_10x_000001.tif|1D63037B-4A10-4E01-B9B6-24D25F07A9CD
2|29|0|22|25|178|663|37|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|88.0000|16.0000|12.0000|13.8889|57.4558|40.5961|14.9394|11.2147|8.8519|3.3572|6.3445|4.1377|5.1799|31.6984|19.9142|146.5909|9.5521|12900.0000|2.7082|6.3507|1.5917|36.7800|1.9960|0.6134|0.3151|0.7078|0.0000|117.5000|97.0000|10.4550|-85.0000|0.0000|150.9091|143.4205|152.0795|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:25.662|416_Station40_09012015_10x_000001.tif|8A6F1934-8313-43A1-9984-7F3F4A662C1A
3|53|0|29|28|451|10|39|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|198.0000|20.0000|15.0000|18.1111|66.0416|53.7791|18.9155|13.9062|30.9460|6.2771|8.5513|5.7928|7.5092|36.4352|27.1873|145.1566|3.9976|28741.0000|1.7529|3.1938|1.3402|18.3898|2.0900|0.7660|0.5701|0.9148|0.0000|214.0000|198.0000|30.9460|-30.0000|55.0000|141.2323|145.9495|151.1566|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:25.761|416_Station40_09012015_10x_000001.tif|F691AF54-07B6-4D24-A9DB-96D10EFDA3BE
4|84|0|25|26|975|117|41|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|176.0000|17.0000|15.0000|15.8611|49.7990|46.7729|15.4296|14.7562|26.2035|5.7761|6.8962|5.7928|6.2679|27.4741|23.3219|131.5682|42.8805|23156.0000|1.1213|1.0000|1.1780|86.5000|2.1990|0.8866|0.7943|0.9832|0.0000|164.0000|176.0000|26.2035|-85.0000|0.0000|136.8352|129.4148|129.2727|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:25.862|416_Station40_09012015_10x_000001.tif|85700C24-2A02-4F21-8016-30D8EAD3C71A
5|111|0|30|20|632|944|43|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|224.0000|21.0000|14.0000|17.9444|55.2132|53.5572|20.2341|14.2536|36.6860|6.8345|9.1030|5.2411|7.4173|30.4611|27.0649|162.3482|19.4485|36366.0000|1.0830|1.0000|1.1255|35.9592|2.2930|0.7782|0.7699|0.9312|0.0000|206.0000|224.0000|36.6860|-35.0000|-90.0000|157.7723|164.4821|163.2679|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:25.961|416_Station40_09012015_10x_000001.tif|F944ECF3-8005-49A8-866C-EFDCEF905A8B
6|143|0|29|24|96|792|44|1|3|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|65.0000|18.0000|10.0000|14.6111|62.6274|42.9173|19.1835|11.0148|5.0524|2.5363|7.4479|3.0343|5.5783|34.5515|21.1948|160.6769|20.8061|10444.0000|4.8018|13.0085|1.6302|21.5000|2.3400|0.5953|0.2495|0.3383|0.0000|121.0000|65.0000|5.0524|-10.0000|70.0000|155.9846|161.5385|168.6923|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.012|416_Station40_09012015_10x_000001.tif|5330E770-3044-4F07-860C-351145AD661F
7|174|0|26|26|969|488|45|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|183.0000|18.0000|14.0000|16.5000|52.9706|49.0805|16.6159|14.2757|27.6999|5.9387|7.4479|5.2411|6.6204|29.2239|24.5950|134.5792|10.5754|24628.0000|1.2201|1.0000|1.1882|36.8958|2.3860|0.8582|0.7730|0.9711|0.0000|177.5000|183.0000|27.6999|-70.0000|60.0000|139.2896|131.5683|137.7322|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.059|416_Station40_09012015_10x_000001.tif|B0F3CB0C-F8C3-4FFE-90DE-815B2269442F
8|202|0|25|26|250|682|49|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|158.0000|17.0000|15.0000|15.7778|49.2132|46.0564|15.2293|14.6284|22.4162|5.3424|6.8962|5.7928|6.2219|27.1509|22.9267|147.1772|3.4024|23254.0000|1.1141|1.0000|1.1843|25.1860|2.5890|0.8831|0.7542|0.9879|0.0000|162.0000|173.0000|25.5661|60.0000|0.0000|147.3038|146.7722|148.9937|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.261|416_Station40_09012015_10x_000001.tif|59D28475-C570-4629-ADA3-85C37906AA9F
9|229|0|27|24|525|160|49|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|147.0000|17.0000|14.0000|15.2778|50.3848|44.6454|14.5229|13.2626|20.1495|5.0651|6.8962|5.2411|5.9461|27.7973|22.1482|139.0952|38.6309|20447.0000|1.3743|1.7440|1.2551|94.2667|2.5890|0.8481|0.6329|0.9677|0.0000|146.0000|147.0000|20.1495|0.0000|-90.0000|145.0136|137.1088|133.7347|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.261|416_Station40_09012015_10x_000001.tif|6807A669-AF23-4FCB-9EC2-583B70CBC63E
10|258|0|23|23|1184|790|50|1|1|0|0.5517|4.5000|0|0.0000|0.0000|0.0000|133.0000|15.0000|13.0000|13.6667|41.5563|39.8539|13.3763|12.7374|17.3249|4.6967|5.7928|4.6894|5.0572|22.9266|19.5048|143.6165|13.9913|19101.0000|1.0333|1.0000|1.1754|43.7568|2.6360|0.9119|0.9660|0.9927|0.0000|119.5000|133.0000|17.3249|-60.0000|0.0000|152.5714|138.8872|144.6466|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2017-02-01T00:00:26.311|416_Station40_09012015_10x_000001.tif|7773B8EF-BD1F-4F91-89EC-3BE35393B4C9
